City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,taoudenni,22.6783,-3.9836,296.59,12,100,3.62,ML,1710824494
115,tostado,-29.232,-61.7692,299.11,88,32,3.55,AR,1710824495
116,college,64.8569,-147.8028,264.14,52,75,0.0,US,1710824403
117,holualoa,19.6228,-155.9522,295.25,79,23,1.82,US,1710824496
118,saipan,15.1355,145.701,298.96,68,30,6.38,MP,1710824496
119,nova vicosa,-17.8919,-39.3719,298.44,92,71,3.02,BR,1710824496
120,hilo,19.7297,-155.09,296.08,87,100,4.12,US,1710824312
121,saint-pierre,-21.3393,55.4781,301.97,58,0,1.54,RE,1710824497
122,saynshand,44.8824,110.1163,273.48,37,2,4.14,MN,1710824498
123,invercargill,-46.4,168.35,287.05,70,23,3.13,NZ,1710824498
124,urzhar,47.093,81.6294,276.62,86,100,1.17,KZ,1710824499
125,kodiak,57.79,-152.4072,273.32,74,100,1.29,US,1710824499
126,berdigestyakh,62.0989,126.6992,265.42,85,89,5.54,RU,1710824500
127,yukhnov,54.7444,35.2297,273.92,98,100,2.9,RU,1710824500
128,queenstown,-31.8976,26.8753,291.33,51,3,1.39,ZA,1710824491
129,arraial do cabo,-22.9661,-42.0278,296.46,94,81,0.47,BR,1710824437
130,suva,-18.1416,178.4415,298.86,94,75,2.06,FJ,1710824501
131,west bay,19.3667,-81.4167,297.63,88,3,4.59,KY,1710824437
132,les anglais,18.3054,-74.2197,298.2,78,1,1.53,HT,1710824502
133,quellon,-43.1167,-73.6167,284.38,94,100,7.26,CL,1710824502
134,shurugwi,-19.6702,30.0059,289.6,83,96,2.81,ZW,1710824503
135,vilyuchinsk,52.9306,158.4028,274.3,84,98,10.88,RU,1710824503
136,bestobe,52.4994,73.0975,272.03,90,98,5.74,KZ,1710824504
137,margaret river,-33.95,115.0667,295.74,32,0,3.59,AU,1710824504
138,nantucket,41.2835,-70.0995,277.23,56,0,7.2,US,1710824351
139,labytnangi,66.6572,66.4183,260.3,73,26,9.8,RU,1710824505
140,yaren,-0.5472,166.916,301.78,76,40,5.68,NR,1710824505
141,mahriz,31.5917,54.4318,292.43,26,89,5.41,IR,1710824506
142,brookings,44.3114,-96.7984,274.87,40,0,5.66,US,1710824506
143,afaahiti,-17.75,-149.2833,301.08,76,89,3.51,PF,1710824506
144,dar chioukh,34.8964,3.4854,287.05,43,100,2.14,DZ,1710824507
145,sao joao da barra,-21.6403,-41.0511,298.42,93,91,2.06,BR,1710824507
146,jimenez,28.3333,-105.4,285.39,77,45,1.83,MX,1710824508
147,piacabucu,-10.4056,-36.4344,300.19,80,41,3.28,BR,1710824508
148,markala,13.7021,-6.0659,299.2,13,43,3.95,ML,1710824508
149,peace river,56.2501,-117.286,272.32,80,75,3.6,CA,1710824503
150,poronaysk,49.2167,143.1167,269.65,87,100,6.71,RU,1710824509
151,whitehorse,60.7161,-135.0538,276.58,52,75,1.03,CA,1710824481
152,saint-philippe,-21.3585,55.7679,301.92,77,52,5.54,RE,1710824510
153,hermanus,-34.4187,19.2345,288.6,93,81,3.68,ZA,1710824510
154,iquique,-20.2208,-70.1431,294.17,78,40,0.97,CL,1710824342
155,tazacorte,28.629,-17.9293,292.69,77,100,5.14,ES,1710824510
156,acapulco de juarez,16.8634,-99.8901,296.96,80,51,1.01,MX,1710824502
157,kaeng khro,16.1086,102.2581,306.42,40,59,2.58,TH,1710824511
158,puerto ayora,-0.7393,-90.3518,300.12,93,87,0.77,EC,1710824298
159,tocopilla,-22.092,-70.1979,295.42,77,17,0.93,CL,1710824511
160,takoradi,4.8845,-1.7554,300.4,89,53,2.25,GH,1710824511
161,rikaze,29.25,88.8833,278.44,18,0,0.54,CN,1710824512
162,tan-tan,28.438,-11.1032,289.58,88,0,2.41,MA,1710824512
163,bopolu,7.0667,-10.4875,297.32,96,65,1.06,LR,1710824512
164,kokubu-matsuki,31.7333,130.7667,282.89,93,75,3.6,JP,1710824512
165,darab,28.7519,54.5444,293.59,49,100,2.77,IR,1710824512
166,idri,27.5,13.2667,285.41,37,0,2.48,LY,1710824439
167,borba,-4.3878,-59.5939,296.47,99,100,0.91,BR,1710824513
168,kruisfontein,-34.0033,24.7314,288.09,85,99,3.2,ZA,1710824513
169,saint-joseph,-21.3667,55.6167,301.36,74,49,4.18,RE,1710824513
170,thompson,55.7435,-97.8558,264.24,67,100,7.2,CA,1710824496
171,dauphin,51.1494,-100.0502,275.23,80,40,3.09,CA,1710824514
172,mermoz boabab,14.7065,-17.4758,293.03,94,92,4.12,SN,1710824514
173,chibougamau,49.9168,-74.3659,261.94,79,100,4.63,CA,1710824514
174,taltal,-25.4,-70.4833,291.72,89,41,0.52,CL,1710824467
175,ancud,-41.8697,-73.8203,284.78,91,100,5.11,CL,1710824514
176,labuan bajo,-8.4964,119.8877,302.21,74,84,3.41,ID,1710824515
177,al wafrah,28.6392,47.9306,297.16,57,100,3.91,KW,1710824515
178,pandan,14.0453,124.1694,300.4,73,84,5.08,PH,1710824515
179,namanga,-2.5433,36.7905,293.88,82,36,1.57,KE,1710824515
180,kitimat,54.0524,-128.6534,279.36,79,100,0.57,CA,1710824516
181,new norfolk,-42.7826,147.0587,301.44,41,62,5.42,AU,1710824516
182,atafu village,-8.5421,-172.5159,302.35,74,98,3.38,TK,1710824420
183,hautmont,50.2508,3.9214,281.79,93,89,2.42,FR,1710824516
184,talnakh,69.4865,88.3972,257.71,93,100,4.6,RU,1710824517
185,rio bueno,-40.3167,-72.9667,281.54,89,100,1.71,CL,1710824517
186,prainha,-1.8,-53.48,296.42,98,80,1.44,BR,1710824517
187,nar'yan-mar,67.6713,53.087,258.77,90,21,3.13,RU,1710824517
188,kingston,17.997,-76.7936,301.68,78,20,4.12,JM,1710824293
189,guerrero negro,27.9769,-114.0611,289.12,78,3,5.64,MX,1710824518
190,punta arenas,-53.15,-70.9167,273.21,93,75,1.54,CL,1710824377
191,broken hill,-31.95,141.4333,301.16,33,77,6.36,AU,1710824380
192,elverum,60.8819,11.5623,259.56,98,85,0.47,NO,1710824518
193,monrovia,6.3005,-10.7969,299.59,90,29,2.84,LR,1710824413
194,sitka,57.0531,-135.33,280.09,93,100,0.0,US,1710824336
195,kiffa,16.6166,-11.4045,297.33,10,0,4.95,MR,1710824519
196,kachkanar,58.7,59.4948,268.31,74,20,1.7,RU,1710824519
197,tura,25.5198,90.2201,306.09,17,49,1.96,IN,1710824519
198,tangkak,2.2673,102.5453,307.52,43,57,2.66,MY,1710824519
199,qaqortoq,60.7167,-46.0333,254.19,78,17,3.08,GL,1710824520
200,laem sing,12.4816,102.0738,305.34,72,53,3.73,TH,1710824520
201,marolambo,-20.05,48.1167,297.43,78,11,0.35,MG,1710824520
202,la'ie,21.6477,-157.9253,295.93,74,64,2.68,US,1710824520
203,hasaki,35.7333,140.8333,287.2,34,100,2.7,JP,1710824520
204,haiku-pauwela,20.9219,-156.3051,294.4,78,40,3.58,US,1710824521
205,bubaque,11.2833,-15.8333,297.61,67,24,3.63,GW,1710824521
206,gadzhiyevo,69.2551,33.3362,270.89,92,100,1.12,RU,1710824521
207,abalak,58.1286,68.5944,266.12,78,72,2.06,RU,1710824521
208,krusevac,43.58,21.3339,281.35,76,100,2.24,RS,1710824522
209,karratha,-20.7377,116.8463,306.48,50,57,7.92,AU,1710824432
210,sigli,5.3848,95.9609,303.35,63,12,2.81,ID,1710824522
211,bria,6.5423,21.9863,296.34,81,100,1.58,CF,1710824402
212,tanumah,27.1,44.1333,289.34,89,100,4.04,SA,1710824523
213,tongouson,5.0214,120.1328,300.97,72,70,2.65,PH,1710824523
214,ilulissat,69.2167,-51.1,256.16,46,10,4.63,GL,1710824523
215,klyuchi,52.2667,79.1667,274.23,76,100,5.02,RU,1710824524
216,bintulu,3.1667,113.0333,302.38,83,40,2.68,MY,1710824524
217,tralee,52.2704,-9.7026,280.88,95,77,2.68,IE,1710824525
218,mili,6.0815,171.735,301.24,79,72,6.05,MH,1710824525
219,punto fijo,11.6956,-70.1996,299.6,81,31,12.47,VE,1710824525
220,daru,-9.0763,143.2092,304.38,65,89,4.14,PG,1710824526
221,selfoss,63.9331,-20.9971,271.51,85,86,8.73,IS,1710824526
222,puerto baquerizo moreno,-0.9,-89.6,300.12,80,100,1.2,EC,1710824526
223,bel ombre,-4.6167,55.4167,303.06,74,20,3.09,SC,1710824527
224,inda silase,14.1031,38.2829,293.96,50,85,1.0,ET,1710824527
225,vrontados,38.4089,26.1328,279.07,87,0,0.51,GR,1710824527
226,canavieiras,-15.675,-38.9472,298.24,87,88,1.54,BR,1710824315
227,gur'yevsk,54.2833,85.9333,274.83,88,85,2.77,RU,1710824527
228,knyaze-volkonskoye,48.4642,135.4567,270.34,86,85,1.79,RU,1710824528
229,urangan,-25.3,152.9,302.15,67,57,4.02,AU,1710824528
230,phan rang-thap cham,11.5667,108.9833,305.14,43,17,7.15,VN,1710824528
231,vorgashor,67.5833,63.95,255.25,88,70,8.33,RU,1710824528
232,bridgewater,44.3835,-64.5155,274.32,85,34,4.63,CA,1710824377
233,northam,51.0333,-4.2167,286.29,96,99,7.54,GB,1710824529
234,pingliang,35.5392,106.6861,286.32,17,0,1.09,CN,1710824529
235,nadi,-17.8,177.4167,299.15,89,100,2.57,FJ,1710824254
236,remire-montjoly,4.9167,-52.2667,300.17,83,40,2.06,GF,1710824529
237,nishinoomote,30.7333,131.0,283.46,100,75,2.57,JP,1710824530
238,sieradz,51.5958,18.7302,273.81,100,62,2.27,PL,1710824339
239,koton-karfe,8.1,6.8,300.8,43,100,1.55,NG,1710824530
240,punta cana,18.5818,-68.4043,299.02,83,20,2.06,DO,1710824529
241,fisterra,42.9049,-9.2629,285.04,75,99,2.13,ES,1710824531
242,birjand,32.8663,59.2211,290.41,27,75,7.2,IR,1710824531
243,bunol,39.4167,-0.7833,285.12,49,100,1.67,ES,1710824531
244,kashmar,35.2383,58.4656,293.52,28,1,7.61,IR,1710824531
245,ausa,41.9271,2.2497,286.48,91,98,1.0,ES,1710824532
246,ballina,-28.8667,153.5667,299.7,68,10,4.06,AU,1710824532
247,mouila,-1.8685,11.0559,297.29,99,100,1.23,GA,1710824518
248,san salvador de jujuy,-24.1946,-65.2971,293.89,93,100,1.14,AR,1710824532
249,fale old settlement,-9.3852,-171.2468,302.85,73,81,3.42,TK,1710824532
250,tapa,59.2606,25.9586,273.36,91,100,1.23,EE,1710824355
251,zouerate,22.7187,-12.4521,295.49,11,4,3.49,MR,1710824533
252,harrisburg,40.2737,-76.8844,275.92,61,20,10.29,US,1710824193
253,kyren,51.6828,102.1408,274.79,61,38,0.45,RU,1710824533
254,awjilah,29.1081,21.2869,285.17,77,1,2.13,LY,1710824534
255,san patricio,28.017,-97.5169,291.39,54,77,4.98,US,1710824534
256,walajapet,12.9333,79.3833,304.2,41,1,4.26,IN,1710824534
257,escarcega,18.6089,-90.7454,297.65,82,18,1.18,MX,1710824535
